nama pengguna,produk,review,rating,waktu transaksi
yolandasbrns5,LINK SPLIT PAYMENT TIMOHO,,5,2022-05-17 22:19
areoll,iPhone 11 64 GB Second Original,,5,2022-05-17 13:19
h*****y,iPhone 8 64 GB Second Original,"Thanku kak disini pelayanannya bagus banget, dapet harga diskon lebaran, bh dapet yg 87% dan udh hampir 3mgg pemakaian masi stay disitu, thanku somuch jordan corner!",5,2022-05-17 12:18
yogiputra77,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-05-17 11:27
musailamatul,iPhone X 64 GB Second Original,,5,2022-05-17 08:36
syifaulluthfiah04,Packing Kayu Dan Custom Box Pengiriman,,5,2022-05-17 04:04
syifaulluthfiah04,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,"Alhmdulilah datang dengan selamatt🤗
Terimakasih seller",5,2022-05-17 04:04
a*****1,LINK SPLIT PAYMENT TIMOHO,,5,2022-05-16 17:43
andikadewantoro,iPhone Xr 64 GB Second Original,,5,2022-05-16 04:37
dewikumara32,IPhone 11 128 GB Second original,,5,2022-05-16 02:32
c*****9,iPhone Xr 64 GB Second Original,"Mantapp, adminnya fast respon",5,2022-05-15 14:46
viapadara,Iphone 11 Pro 64 GB SECOND ORIGINAL,Semoga hpnya bener bener bisa awet yaa dan bisa dipakai dalam jangka panjang☺️,4,2022-05-15 14:10
aryaayra105,Iphone 6s 64 GB Second Original,,5,2022-05-15 13:30
mutiaraayu_pertiwi,Iphone 6s 64 GB Second Original,Untuk splitt bill aja sih thankyouuuu tapi kurirnya ga jelas banget sumpah👍🏻,5,2022-05-15 04:03
a*****a,Iphone 11 Pro 64 GB SECOND ORIGINAL,dateng ke store buat cek unit hp aman semua mulus langsung checkout di store dan dapat garansi juga🤩,5,2022-05-14 12:50
heefvck,IPhone 11 128 GB Second original,,5,2022-05-14 12:19
w*****7,iphone Xs 64 GB Second Original,Kualitas produk sangat baik saya suka sekali yippii horeeee,5,2022-05-14 09:56
yosephineaf,iPhone 8 64 GB Second Original,,5,2022-05-14 09:18
yayasrn,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-05-13 11:59
