nama pengguna,produk,review,rating,waktu transaksi
jogjafcshoppp,iPhone XR 64GB Second ORIGINAL,Niceeee,5,2022-04-19 07:45
faisalsunyono,iPhone XR 128 GB Second ORIGINAL,,5,2022-04-18 13:56
n*****s,IPhone 11  PRO 64GB SECOND ORIGINAL,,5,2022-04-18 13:43
n*****1,iPhone 5s Second Original,"Alhamdulillah udah sampe dengan selamat, untuk produk nya bagus seperti baru dan pengiriman nya juga cepet respon adminnya apalagi fast respon ramah terus sabar juga.thanks ya ka ♥️",5,2022-04-18 13:21
rositadevy,iPhone 8 Plus 64GB SECOND ORIGINAL,,5,2022-04-18 12:02
ayikkkkk99,iPhone 5s Second Original,,5,2022-04-18 11:05
rp3cv9g9ig,iPhone XR 64GB Second ORIGINAL,"Terima kasih ifonespot, barangnya ori kak dapet BH yang 96% packingannya mantap👍",5,2022-04-18 06:31
g*****n,FAST CHARGING SET ORIGINAL,"Pengiriman cepat, barangnya sesuai 👌",5,2022-04-18 01:28
adityapete,iPhone 8 64GB SECOND ORIGINAL,Good,5,2022-04-17 14:05
syafiq507,iPhone XR 64GB Second ORIGINAL,Mantap,5,2022-04-17 11:13
k*****9,iPhone 5s Second Original,"adminnya ramah bangeettt
fast respon, dan pengiriman juga cepet bgtttt",5,2022-04-17 09:38
corintaswastika,iPhone 5s Second Original,Mulus 🤭,5,2022-04-17 06:18
iffi.28,iPhone  5s  SECOND ORIGINAL,,5,2022-04-17 04:21
umar_sai89,iPhone 5s Second Original,,5,2022-04-16 03:58
windu1028,IPhone 11  PRO 64GB SECOND ORIGINAL,Rekomendasi bgt beli di sini barang bagus,5,2022-04-15 07:54
nisaalqwyh,iPhone 5s Second Original,,5,2022-04-14 19:50
d*****0,iPhone XS 64GB SECOND ORIGINAL,"Baru kasih review sekarang..
Sudah satu minggu di pakai
Sejak barang di terima.
Barangnya bagus mulus
Untuk BH awalnya 95% tapi sesudah seminggu kok bisa turun jadi 84%.",4,2022-04-14 12:16
khayla2500,FAST CHARGING SET ORIGINAL,"Kurang tau bagaimana, soalnya abg ku yang punya, but yang aku liat bagus seperti cas hp pada umum nya",4,2022-04-14 05:41
m*****3,FAST CHARGING SET ORIGINAL,,5,2022-04-13 07:01
febrinatiraaa20,iPhone  5s  SECOND ORIGINAL,,5,2022-04-13 02:03
andamite,iPhone 11 64GB SECOND ORIGINAL,Seller ramah banget nget. Hpnya juga bagus dapat BH 96% dan 3utools hijau semua. Cuma sayang pas dichat katanya mulus like new tapi yg dateng beret halus dilayar agak panjang.,4,2022-04-12 10:02
